,cocktail_name,alcoholic,image_url,glass_type,recipe,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15
0,'57 Chevy with a White License Plate,True,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Creme de Cacao,Vodka,,,,,,,,,,,,,,1 oz white ,1 oz , , , , , ,,,,,,,,
1,1-900-FUK-MEUP,True,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,,,,1/2 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz , , , , , ,,
2,110 in the shade,True,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Drop shooter in glass. Fill with beer,Lager,Tequila,,,,,,,,,,,,,,16 oz ,1.5 oz , , , , , ,,,,,,,,
3,151 Florida Bushwacker,True,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , , , , , ,,
4,155 Belmont,True,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot , , , , , ,,,,,,
5,24k nightmare,True,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,"Add over ice,shake and pour.",Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi , , , , , ,,,,,,
6,252,True,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick",151 proof rum,Wild Turkey,,,,,,,,,,,,,,1/2 shot Bacardi ,1/2 shot , , , , , ,,,,,,,,
7,3 Wise Men,True,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,put them them in a glass... and slam it to tha head.,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz , , , , , ,,,,,,,
8,3-Mile Long Island Iced Tea,True,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,"
",1-2 dash ,1 wedge , , , , , ,,
9,410 Gone,True,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,,Peach Vodka,Coca-Cola,,,,,,,,,,,,,,2-3 oz,,,,,,,,,,,,,,
